,Date,Winner/Commander,WinCon,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6
,8/26/20,"Brendan / Xenagos, God of Revels",Mid-Range Combat,"Alex / Mogis, God of Slaughter",John / Queen Marchesa,"Brendan / Xenagos, God of Revels",,,
Turn4 Devoted Druid combo,8/28/20,"John / Tayam, Luminous Enigma",Combo,Alex / Zedruu the Greathearted,"Brendan / Zaxara, the Exemplary","John / Tayam, Luminous Enigma",,,
3294 Power on board!!,8/28/20,"Brendan / Zaxara, the Exemplary",Mid-Range Combat,"Brendan / Zaxara, the Exemplary","John / Tayam, Luminous Enigma",Alex / Zedruu the Greathearted,,,
,8/29/20,"Brendan / Yarok, the Desecrated",Mid-Range Combat,"Reese / Varina, Lich Queen","Nolan / Jhoira, Weatherlight Captain","Brendan / Yarok, the Desecrated",,,
Infinite Zombois!,8/30/20,"Reese / Varina, Lich Queen",Combo,"Greg / Nekusar, the Mindrazer","Reese / Varina, Lich Queen","Alex / Mogis, God of Slaughter","Brendan / Xenagos, God of Revels",John / Queen Marchesa,
Sunforger FTW,8/30/20,John / Queen Marchesa,Control,Reese / The Ur-Dragon,"Greg / Nekusar, the Mindrazer",John / Queen Marchesa,"Brendan / Xenagos, God of Revels","Alex / Mogis, God of Slaughter",
,9/1/20,Brendan / Maelstrom Wanderer,Mid-Range Combat,Brendan / Maelstrom Wanderer,Reese / The Ur-Dragon,"Alex / Mogis, God of Slaughter","John / Tayam, Luminous Enigma",,
Degenerate Varina Zombie Combo (ZOMBO),9/1/20,"Reese / Varina, Lich Queen",Combo,John / Queen Marchesa,"Reese / Varina, Lich Queen",Brendan / Maelstrom Wanderer,,,
,9/1/20,Brendan / Maelstrom Wanderer,Mid-Range Combat,John / Queen Marchesa,Brendan / Maelstrom Wanderer,"Reese / Krenko, Mob Boss",,,
,9/1/20,Brendan / Maelstrom Wanderer,Mid-Range Combat,"Greg / Freyalise, LLanowar's Fury",Brendan / Maelstrom Wanderer,"Reese / Krenko, Mob Boss",,,
56 x 56/56 goblins ain't no thang,9/1/20,"Reese / Krenko, Mob Boss",Mid-Range Combat,Brendan / Maelstrom Wanderer,"Reese / Krenko, Mob Boss","Greg / Freyalise, LLanowar's Fury",,,
,9/2/20,Reese / The Ur-Dragon,Mid-Range Combat,"John / Breya, Etherium Shaper",Reese / The Ur-Dragon,Brendan / Maelstrom Wanderer,,,
,9/2/20,Brendan / Maelstrom Wanderer,Mid-Range Combat,Brendan / Maelstrom Wanderer,"John / Breya, Etherium Shaper",Reese / The Ur-Dragon,Andrew / Emiel the Blessed,,
Workhorse go brrrrrr,9/2/20,Andrew / Emiel the Blessed,Combo,"Reese / Krenko, Mob Boss",Andrew / Emiel the Blessed,Brendan / Maelstrom Wanderer,"John / Breya, Etherium Shaper",,
Tutor -> altar -> gravecrawler go brrrrrr,9/5/20,"Reese / Varina, Lich Queen",Combo,"Reese / Varina, Lich Queen",Andrew / Emiel the Blessed,Brendan / Maelstrom Wanderer,,,
,9/5/20,Brendan / Maelstrom Wanderer,Mid-Range Combat,Brendan / Maelstrom Wanderer,"John / Breya, Etherium Shaper","Reese / Varina, Lich Queen",,,
,9/5/20,"Brendan / Zaxara, the Exemplary",Mid-Range Combat,"Brendan / Zaxara, the Exemplary","John / Breya, Etherium Shaper","Reese / Varina, Lich Queen",,,
,9/5/20,"Reese / Varina, Lich Queen",,"Reese / Varina, Lich Queen","John / Tayam, Luminous Enigma","Alex / Mogis, God of Slaughter",Brendan / Maelstrom Wanderer,,
,9/6/20,"Andrew / Estrid, the Masked",Voltron,"Andrew / Estrid, the Masked","Brendan / Kykar, Wind's Fury","Reese / Volrath, the Shapestealer","John / Breya, Etherium Shaper",,
3 hour game...,9/6/20,"Greg / Arixmethes, Slumbering Isle",Mid-Range Combat,"Andrew / Xantcha, Sleeper Agent","Greg / Arixmethes, Slumbering Isle","John / Breya, Etherium Shaper","Reese / Volrath, the Shapestealer","Brendan / Kykar, Wind's Fury",
,9/7/20,"Brendan / Zaxara, the Exemplary",Mid-Range Combat,"Alex / Mogis, God of Slaughter","Phil / Kethis, the Hidden Hand","Brendan / Zaxara, the Exemplary",,,
torBURN,9/10/20,"Alex / Torbran, Thane of Red Fell",Burn,Brendan / Maelstrom Wanderer,"John / Tayam, Luminous Enigma","Alex / Torbran, Thane of Red Fell","Reese / Volrath, the Shapestealer",,
,9/10/20,"Alex / Torbran, Thane of Red Fell",Burn,"Reese / Volrath, the Shapestealer","Alex / Torbran, Thane of Red Fell",Brendan / Maelstrom Wanderer,"John / Tayam, Luminous Enigma",,
,9/10/20,"John / Breya, Etherium Shaper",Control,Brendan / Maelstrom Wanderer,"Alex / Torbran, Thane of Red Fell","John / Breya, Etherium Shaper","Reese / Varina, Lich Queen",,
,9/12/20,"John / Breya, Etherium Shaper",Combo,"Reese / Varina, Lich Queen","John / Breya, Etherium Shaper","Alex / Torbran, Thane of Red Fell",Brendan / Maelstrom Wanderer,,
,9/12/20,"Reese / Varina, Lich Queen",,"Alex / Torbran, Thane of Red Fell",Brendan / Maelstrom Wanderer,"John / Hapatra, Vizier of Poisons","Reese / Varina, Lich Queen",,
What does rogue's passage do?,9/13/20,"John / Omnath, Locus of Mana",Voltron,"Reese / Volrath, the Shapestealer","Phil / Karametra, God of Harvests","John / Omnath, Locus of Mana",,,
Budget LabMan for the win!,9/13/20,"Brendan / Pir, Imaginative Rascal + Toothy, Imaginary Friend",Combo,"Phil / Karametra, God of Harvests","Brendan / Pir, Imaginative Rascal + Toothy, Imaginary Friend","Reese / Volrath, the Shapestealer",,,
Infect Wheelz!,9/15/20,"Greg / Nekusar, the Mindrazer",Combo,"Phil / Kethis, the Hidden Hand","John / Muldrotha, the Gravetide","Brendan / Samut, Voice of Dissent","Greg / Nekusar, the Mindrazer",Reese / The Ur-Dragon,
,9/15/20,"Phil / Kethis, the Hidden Hand",Mid-Range Combat,"Brendan / Xenagos, God of Revels","John / Hapatra, Vizier of Poisons","Phil / Kethis, the Hidden Hand","Reese / Krenko, Mob Boss",,
,9/15/20,"Alex / Inalla, Archmage Ritualist",Combo,Reese / The Ur-Dragon,"Brendan / Samut, Voice of Dissent","Alex / Inalla, Archmage Ritualist",Andrew / Emiel the Blessed,,
,9/20/20,"John / Hapatra, Vizier of Poisons",Mid-Range Combat,"Andrew / Bosh, Iron Golem","Reese / Volrath, the Shapestealer","John / Hapatra, Vizier of Poisons","Alex / Torbran, Thane of Red Fell","Brendan / Samut, Voice of Dissent",
,9/20/20,Brendan / Maelstrom Wanderer,Mid-Range Combat,"Andrew / Bosh, Iron Golem","Greg / Arixmethes, Slumbering Isle","John / Hapatra, Vizier of Poisons",Brendan / Maelstrom Wanderer,"Reese / Volrath, the Shapestealer",
,9/24/20,"Alex / Torbran, Thane of Red Fell",Burn,"Andrew / Bosh, Iron Golem","Greg / Freyalise, LLanowar's Fury","Alex / Torbran, Thane of Red Fell",Reese / The Ur-Dragon,,
,9/24/20,"Greg / Freyalise, LLanowar's Fury",Mid-Range Combat,"Greg / Freyalise, LLanowar's Fury","Andrew / Bosh, Iron Golem","Brendan / Samut, Voice of Dissent",Reese / The Ur-Dragon,,
,9/27/20,"Phil / Yuriko, the Tiger's Shadow",Burn,"Alex / Torbran, Thane of Red Fell","Reese / Varina, Lich Queen","Brendan / Samut, Voice of Dissent","Phil / Yuriko, the Tiger's Shadow",,
,9/27/20,"Phil / Kethis, the Hidden Hand",Mid-Range Combat,"Phil / Kethis, the Hidden Hand","Brendan / Samut, Voice of Dissent","Alex / Torbran, Thane of Red Fell","Reese / Varina, Lich Queen",,
,10/3/20,"Andrew / Kalamax, the Stormsire",,Brendan / Maelstrom Wanderer,"Andrew / Kalamax, the Stormsire","Alex / Inalla, Archmage Ritualist",Reese / The Ur-Dragon,,
,10/3/20,"Brendan / Samut, Voice of Dissent",Mid-Range Combat,"Greg / Nekusar, the Mindrazer","Andrew / Bosh, Iron Golem","Reese / Volrath, the Shapestealer","Brendan / Samut, Voice of Dissent",,
,10/4/20,"Brendan / Zaxara, the Exemplary",Mid-Range Combat,"Brendan / Zaxara, the Exemplary","Reese / Krenko, Mob Boss","Alex / Torbran, Thane of Red Fell",,,
