,Date,Winner/Commander,WinCon,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6
GET SPOOP'T,1/27/21,"Reese / Aminatou, the Fateshifter",Combo,"Phil / Chainer, Dementia Master","John / Tymna the Weaver + Tana, the Bloodsower","Reese / Aminatou, the Fateshifter",Greg / Kaalia of the Vast,,
,1/27/21,"Greg / Nekusar, the Mindrazer",Group Slug,"Greg / Nekusar, the Mindrazer",Reese / The Ur-Dragon,John / Edgar Markov,"Phil / Yuriko, the Tiger's Shadow",,
Kokusho + Chainer for many times (at instant speed with an ultimatum on the stack; after 4 board wipes),2/2/21,"Phil / Chainer, Dementia Master",Burn,"Phil / Chainer, Dementia Master","John / Tayam, Luminous Enigma",Andrew / Neyith of the Dire Hunt,"Reese / Volrath, the Shapestealer","Greg / Belbe, Corrupted Overseer",
,2/7/21,"Alex / Kumena, Tyrant of Orazca",Mid-Range Combat,Brendan / Vial Smasher + Sakashima of a Thousand Faces,"Phil / Karametra, God of Harvests","Alex / Kumena, Tyrant of Orazca",Reese / Ink-Treader Nephilim,,
"Azami provided answers to everything, so scoop",2/12/21,"Miguel / Inalla, Archmage Ritualist",,Juan / The Ur-Dragon ,Andrew / Neyith of the Dire Hunt,"Miguel / Inalla, Archmage Ritualist ",,,
"Everyone blasts Ur-Drag, Bosh gets humbled by Lathril precon, whose lack of boardwipes is revealed as Samut keeps swingin' ",2/12/21,"Miguel / Samut, Voice of Dissent",Mid-Range Combat,"Greg / Lathril, Blade of the Elves","Juan / Brudiclad, Telchor Engineer","Andrew / Bosh, Iron Golem ","Miguel / Samut, Voice of Dissent",,
,2/13/21,"Miguel / Sidisi, Brood Tyrant",Mid-Range Combat,Chris / Gisa and Geralf,"John / Tayam, Luminous Enigma","Miguel / Sidisi, Brood Tyrant",,,
,2/15/21,"Reese / Aminatou, the Fateshifter",Combo,"Phil / Elesh Norn, Grand Cenobite","Reese / Aminatou, the Fateshifter","Brendan / Orvar, the All-Form","Greg / Kozilek, the Great Distortion",,
Infinite Elves < Flyers,2/15/21,"Brendan / Orvar, the All-Form",Mid-Range Combat,"Brendan / Orvar, the All-Form","Phil / Yuriko, the Tiger's Shadow","Greg / Lathril, Blade of the Elves",,,
,2/15/21,"Miguel / Kalamax, the Stormsire",,John / Queen Marchesa,Andrew / Ranar the Ever-Watchful,Juan / The Ur-Dragon,"Miguel / Kalamax, the Stormsire",,
,2/17/21,"Miguel / Sidisi, Brood Tyrant",Mid-Range Combat,"Brendan / Orvar, the All-Form","Miguel / Sidisi, Brood Tyrant",Andrew / Ranar the Ever-Watchful,,,
,2/17/21,"Brendan / Orvar, the All-Form",Combo,"Miguel / Sidisi, Brood Tyrant",Andrew / Ranar the Ever-Watchful,"Brendan / Orvar, the All-Form",,,
"""Like the Bobby Fischer of magic"" - billetito",2/20/21,John / The Scarab God,Combo,Juan / The Ur-Dragon,Chris / Gisa and Geralf,"Miguel / Samut, Voice of Dissent",John / The Scarab God,,
,2/21/21,"Greg / Belbe, Corrupted Overseer",Mid-Range Combat,"Miguel / Sidisi, Brood Tyrant","Nolan / Muldrotha, the Gravetide","Phil / Chainer, Dementia Master","Brendan / Orvar, the All-Form","Greg / Belbe, Corrupted Overseer",
,2/24/21,"Greg / Lathril, Blade of the Elves",Mid-Range Combat,"Greg / Lathril, Blade of the Elves","Reese / Morophon, the Boundless","Alex / Torbran, Thane of Red Fell","Miguel / Sidisi, Brood Tyrant","Brendan / Vaevictis Asmadi, the Dire",
,2/24/21,"Alex / Inalla, Archmage Ritualist",Combo,"Greg / Lathril, Blade of the Elves","Brendan / Vaevictis Asmadi, the Dire","Alex / Inalla, Archmage Ritualist",Miguel / Edgar Markov,John / Meren of Clan Nel Toth,
,2/26/21,"John / Tayam, Luminous Enigma",,"Alex / Kumena, Tyrant of Orazca","John / Tayam, Luminous Enigma","Brendan / Vaevictis Asmadi, the Dire",,,
*MANY* Orvars hugged us to death <3,2/28/21,"Brendan / Orvar, the All-Form",Combo,"Brendan / Orvar, the All-Form",John / Edgar Markov,"Phil / Ghired, Conclave Exile",,,
Finale of Devastation; x=10,2/28/21,"John / Hapatra, Vizier of Poisons",Mid-Range Combat,"Phil / Jared Carthalion, True Heir","John / Hapatra, Vizier of Poisons","Brendan / Vaevictis Asmadi, the Dire",,,
Lili Ult and some stolen worldgorger shenanigans,3/3/21,"Brendan / Vaevictis Asmadi, the Dire",Mid-Range Combat,"Miguel / Golos, Tireless Pilgrim","Brendan / Vaevictis Asmadi, the Dire","Reese / Morophon, the Boundless","John / Tibalt, Cosmic Imposter",,
,3/4/21,"Reese / Morophon, the Boundless",Mid-Range Combat,"Brendan / Xenagos, God of Revels","Greg / Kozilek, the Great Distortion","John / Tibalt, Cosmic Imposter","Reese / Morophon, the Boundless",,
Squandered Resources + 2 Splendid reclaimations = SUPER DUPER BIG BRAIN TIME and table kill (feat wanderboi),3/4/21,"Brendan / Yidris, Maelstrom Wielder",Combo,"Reese / Morophon, the Boundless","Brendan / Yidris, Maelstrom Wielder","Greg / Hallar, the Firefletcher",,,
,3/6/21,John / Riku of Two Reflections,Mid-Range Combat,John / Riku of Two Reflections,"Alex / Teysa, Orzhov Scion",Brendan / Abomination of Llanowar,"Andrew / Alesha, who Smiles at Death",,
,3/11/21,"Greg / Xyris, the Writhing Storm",Mid-Range Combat,"Greg / Xyris, the Writhing Storm",Nolan / Feldon of the Third Path,Phil / Teysa Karlov,Reese / Jhoira of the Ghitu,,
,3/11/21,Greg / Kaalia of the Vast,Mid-Range Combat,Greg / Kaalia of the Vast,Brendan / Scion of the Ur-Dragon,"Reese / Varina, Lich Queen",,,
Alex countered 3 wincons :o,3/14/21,Brendan / Scion of the Ur-Dragon,Mid-Range Combat,Brendan / Scion of the Ur-Dragon,"Alex / Lazav, the Multifarious","John / Svella, Ice Shaper","Phil / Ghired, Conclave Exile",Reese / Firesong and Sunspeaker,
Round 1: Jared vs Svella - Ulamog flipped off the top to exile Jared during a Domri forced fight; Round 2: Jared got his hair done and swung in for lethal as a 19/19 double-strike flying monstrosity,3/18/21,"Phil / Jared Carthalion, True Heir",Mid-Range Combat,"Phil / Jared Carthalion, True Heir","Reese / Aminatou, the Fateshifter","Brendan / Vaevictis Asmadi, the Dire","John / Svella, Ice Shaper",,
Infinite championed shapeshifters + Dragon tempest,3/20/21,"Reese / Morophon, the Boundless",Combo,"Reese / Morophon, the Boundless",Alex / Mizzix of the Izmagnus,"Brendan / Orvar, the All-Form","John / Svella, Ice Shaper",,
WGD + Animate Dead,3/20/21,"John / Tibalt, Cosmic Imposter",Combo,Brendan / Vial Smasher + Sakashima of a Thousand Faces,"John / Tibalt, Cosmic Imposter","Reese / Varina, Lich Queen",Alex / Mizzix of the Izmagnus,,
hey i thought this was supposed to be an aggro match-up,3/20/21,Brendan / Vial Smasher + Sakashima of a Thousand Faces,Burn,John / Edgar Markov,Alex / Mizzix of the Izmagnus,"Reese / Krenko, Mob Boss",Brendan / Vial Smasher + Sakashima of a Thousand Faces,,
Mizzix STORM gonna STORM (high tide + guttersnipe + all the spells = table wipe),3/21/21,Alex / Mizzix of the Izmagnus,Burn,Andrew / Ranar the Ever-Watchful,Alex / Mizzix of the Izmagnus,"Greg / Nekusar, the Mindrazer","Brendan / Zaxara, the Exemplary","Phil / Yuriko, the Tiger's Shadow",
Wheelz go round and round and round and round and round and round and round,3/21/21,"Greg / Nekusar, the Mindrazer",Group Slug,"Phil / Jared Carthalion, True Heir","Andrew / Omnath, Locus of Creation","Greg / Nekusar, the Mindrazer",Alex / Mizzix of the Izmagnus,Brendan / Scion of the Ur-Dragon,
"The biggest counter war ever (4 counters on top of a cyclonic rift) + 2 seedborn muses and 1 kruphix
https://photos.app.goo.gl/FmiARhGt2xaVmeiv9",3/23/21,"Brendan / Zaxara, the Exemplary",Mid-Range Combat,"Brendan / Zaxara, the Exemplary",Alex / Mizzix of the Izmagnus,"John / Svella, Ice Shaper",,,
"John almost scooped with a resolved Gitrog, but Alex pulled him back from the depths of despair with a perfectly top-decked Blasphemous Act;  Scarab rebuilt with some zombie Plant-boi blockers;  Mizzix tried to draw 12 cards, but was stopped by a snapcasted Fierce Guardianship and a pulled from tomorrow (X=8) counterspell.  Yidris untapped with 8+ cards in hands and hella lands;  Y rebuilt quickly with an agry omnath and starting killing Alex;  little did he know that the Turn 2 mesmeric orb would be his downfall... somehow... someway... Scarab God squeaked out a Win by milling Yidris out and burning Mizzex out with ""zombies.""",3/23/21,John / The Scarab God,Mid-Range Combat,"Brendan / Yidris, Maelstrom Wielder",John / The Scarab God,Alex / Mizzix of the Izmagnus,,,
ELVES gonna ELF,3/27/21,"Greg / Lathril, Blade of the Elves",Mid-Range Combat,"John / Svella, Ice Shaper",Brendan / Horde of Notions,"Greg / Lathril, Blade of the Elves","Alex / Torbran, Thane of Red Fell",,
,3/27/21,Brendan / Horde of Notions,Mid-Range Combat,"Greg / Kozilek, the Great Distortion","John / Tibalt, Cosmic Imposter","Alex / Torbran, Thane of Red Fell",Brendan / Horde of Notions,,
Its not a wrath deck! also T4 it that betrays major spook,3/30/21,Reese / Firesong and Sunspeaker,Combo,Reese / Firesong and Sunspeaker,"Greg / Belbe, Corrupted Overseer","Nolan / Muldrotha, the Gravetide","Alex / Lazav, the Multifarious",Brendan / Horde of Notions,
T4 Armageddon              (+ turn 9 Armageddon),4/1/21,"John / Tymna the Weaver + Tana, the Bloodsower",Mid-Range Combat,"Reese / Aminatou, the Fateshifter",Greg / Kaalia of the Vast,"John / Tymna the Weaver + Tana, the Bloodsower","Brendan / Zaxara, the Exemplary",,
,4/1/21,"John / Svella, Ice Shaper",Mid-Range Combat,Greg / Kaalia of the Vast,"Reese / Aminatou, the Fateshifter","Brendan / Zaxara, the Exemplary","John / Svella, Ice Shaper",,
T3 Briberied Blightsteel + tons of interaction into a lotion thief + wheel of fortune + 4 sakasmashers = death,4/10/21,Brendan / Vial Smasher + Sakashima of a Thousand Faces,Burn,Alex / Mizzix of the Izmagnus,"John / Svella, Ice Shaper",Brendan / Vial Smasher + Sakashima of a Thousand Faces,Reese / The Ur-Dragon,,
,4/10/21,Alex / Mizzix of the Izmagnus,Burn,"Reese / Aminatou, the Fateshifter",Alex / Mizzix of the Izmagnus,"John / Svella, Ice Shaper",Brendan / Horde of Notions,,
John when balls to the walls for the WGD combo and got got by a beast within :o - then morophyboi when OFF,4/10/21,"Reese / Morophon, the Boundless",Mid-Range Combat,"John / Tibalt, Cosmic Imposter","Brendan / Xenagos, God of Revels","Reese / Morophon, the Boundless","Alex / Torbran, Thane of Red Fell",,
(Naya Rhinos drew 9 cards; Orvar policed an early Meren; GB Elfball had ~100 mana and a full board of elves)  VS (one spore-y frog),4/13/21,John / Meren of Clan Nel Toth,Combo,John / Meren of Clan Nel Toth,"Phil / Ghired, Conclave Exile","Greg / Lathril, Blade of the Elves","Brendan / Orvar, the All-Form",,
,4/17/21,"Brendan / Kykar, Wind's Fury",Burn,"Alex / Inalla, Archmage Ritualist","Brendan / Kykar, Wind's Fury","Phil / Elesh Norn, Grand Cenobite",,,
,4/17/21,Brendan / Scion of the Ur-Dragon,Mid-Range Combat,"Alex / Torbran, Thane of Red Fell","Phil / Ghired, Conclave Exile",Brendan / Scion of the Ur-Dragon,,,
"started the turn at 1, ended the turn at 277 :o",4/27/21,"Brendan / Kykar, Wind's Fury",Burn,"Greg / Nekusar, the Mindrazer","Alex / Torbran, Thane of Red Fell","Reese / Tymna the Weaver + Ikra Shidiqi, the Ursurper","Brendan / Kykar, Wind's Fury",,
T4 Chord of calling into regal force -> T5 x = 10 finale of dev for hoofiboi for death,4/29/21,"Greg / Lathril, Blade of the Elves",Mid-Range Combat,"Greg / Lathril, Blade of the Elves","Alex / Torbran, Thane of Red Fell","Reese / Tymna the Weaver + Ikra Shidiqi, the Ursurper","Brendan / Vaevictis Asmadi, the Dire",,
Smoothie Time in Mono Blue,4/29/21,"Brendan / Orvar, the All-Form",Mid-Range Combat,"Alex / Torbran, Thane of Red Fell","Reese / Tymna the Weaver + Ikra Shidiqi, the Ursurper","Brendan / Orvar, the All-Form",,,
Phage to the FACE (oh and greg was indeed the problem),5/5/21,"Alex / Lazav, the Multifarious",Voltron,"Reese / Tymna the Weaver + Ikra Shidiqi, the Ursurper",Brendan / The Ur-Dragon,"Greg / Kozilek, the Great Distortion","Alex / Lazav, the Multifarious",,
TORBRAN OUT OF THE GATES LIKE A BAT OUTTA HELL,5/5/21,"Brendan / Zaxara, the Exemplary",Mid-Range Combat,"Reese / Morophon, the Boundless","Alex / Torbran, Thane of Red Fell","Brendan / Zaxara, the Exemplary",Greg / Kaalia of the Vast,,
"Anguished Unmaking for 30 life to inky bois face, then altar of the brood + avenger of zendi for GG!",5/17/21,Andrew / Emiel the Blessed,Combo,Reese / Ink-Treader Nephilim,Andrew / Emiel the Blessed,"Alex / Torbran, Thane of Red Fell",Brendan / Shadrix Silverquill,,
"Oblivion Stoned, to oblivion. Also Pyrohemia's first time falling short of the win?",5/17/21,"Andrew / Bosh, Iron Golem",Mid-Range Combat,"Andrew / Bosh, Iron Golem",Reese / Ink-Treader Nephilim,Brendan / Shadrix Silverquill,"Alex / Torbran, Thane of Red Fell",,
,5/23/21,Brendan / Shadrix Silverquill,Combo,Brendan / Shadrix Silverquill,Alex / Mizzix of the Izmagnus,Reese / Ink-Treader Nephilim,"Greg / Lathril, Blade of the Elves",,
,5/23/21,"Brendan / Orvar, the All-Form",Combo,"Alex / Inalla, Archmage Ritualist","Brendan / Orvar, the All-Form",Reese / Ink-Treader Nephilim,,,
FOUR Wandering Archaics led to supreme stack shenanigans,5/25/21,Brendan / Shadrix Silverquill,Mid-Range Combat,Nolan / Galazeth Prismari,Brendan / Shadrix Silverquill,"Phil / Jared Carthalion, True Heir","Greg / Kaza, Roil Chaser",Reese / Ink-Treader Nephilim,
,5/30/21,Reese / Ink-Treader Nephilim,Combo,"Andrew / Estrid, the Masked","Brendan / Yidris, Maelstrom Wielder","Greg / Kaza, Roil Chaser",Reese / Ink-Treader Nephilim,,
"Greg took all the turns, 13 turns in a 5 turn game, then he 'sploded the table for 2350 each.",5/30/21,"Greg / Kaza, Roil Chaser",Burn,Brendan / Scion of the Ur-Dragon,"Reese / Tymna the Weaver + Ikra Shidiqi, the Ursurper","Greg / Kaza, Roil Chaser","Andrew / Xantcha, Sleeper Agent",,
Two jeska's wills in a turn -> temporal tresspass -> wheel with hullbreacher = profit (then burn everyone with many sakasmashers from a kicked rite of replication),5/31/21,Brendan / Vial Smasher + Sakashima of a Thousand Faces,Burn,"Alex / Inalla, Archmage Ritualist",Reese / The Ur-Dragon,Brendan / Vial Smasher + Sakashima of a Thousand Faces,"Greg / Belbe, Corrupted Overseer",,
"Wanted a fast game, Neku delivered. T2 Caress, T4 Megrim = 4 damage per discard; Wheels from Jace's Archevist and a Windfall.",5/31/21,"Greg / Nekusar, the Mindrazer",Burn,"Alex / Torbran, Thane of Red Fell","Greg / Nekusar, the Mindrazer","Reese / Krenko, Mob Boss","Brendan / Xenagos, God of Revels",,
,6/8/21,"John / Marchesa, the Black Rose",Combo,"Brendan / Lonis, Cryptozoologist","Phil / Elesh Norn, Grand Cenobite","John / Marchesa, the Black Rose","Alex / Torbran, Thane of Red Fell",,
All the World's a Spinx,6/10/21,"Reese / Morophon, the Boundless",Combo,"Brendan / Lonis, Cryptozoologist","Reese / Morophon, the Boundless","Greg / Kozilek, the Great Distortion",Nolan / Galazeth Prismari,,
Abzan finally did the thing! T4 bolas' citadel into the hoof with only one friend :c but archangel of thune put in absolute work,6/10/21,"Reese / Tymna the Weaver + Ikra Shidiqi, the Ursurper",Mid-Range Combat,"Greg / Lathril, Blade of the Elves","Reese / Tymna the Weaver + Ikra Shidiqi, the Ursurper","Brendan / Lonis, Cryptozoologist",Alex / Mizzix of the Izmagnus,,
Inspector General done subpoenad our decks :O,6/13/21,"Brendan / Lonis, Cryptozoologist",Combo,"Brendan / Lonis, Cryptozoologist","Reese / Tymna the Weaver + Ikra Shidiqi, the Ursurper",John / Galazeth Prismari,,,
"Honestly idk what even happend, i just know that it was a lot",6/13/21,John / Galazeth Prismari,Combo,John / Galazeth Prismari,"Andrew / Kalamax, the Stormsire",Brendan / Shadrix Silverquill,"Reese / Krenko, Mob Boss",,
"Tayam threatens a win, the table responds with the full might of the British Navy, Firesong wipes the board and the floor into an aetherflux finish",6/13/21,Reese / Firesong and Sunspeaker,Burn,"Brendan / Xenagos, God of Revels","John / Tayam, Luminous Enigma","Andrew / Bosh, Iron Golem ",Reese / Firesong and Sunspeaker,,
Grixis Pod!,6/18/21,"Greg / Nekusar, the Mindrazer",Burn,"Greg / Nekusar, the Mindrazer","John / Marchesa, the Black Rose","Nolan / Vial Smasher, the Fierce + Kraum, Ludevic's Opus","Brendan / Kess, Dissident Mage",,
,6/18/21,"John / Marchesa, the Black Rose",Combo,"Brendan / Kess, Dissident Mage","John / Marchesa, the Black Rose",Greg / Bruvac the Grandiloquent,"Nolan / Vial Smasher, the Fierce + Kraum, Ludevic's Opus",,
Kindred Summons and Finale of Devestation are good cards,6/24/21,"Greg / Lathril, Blade of the Elves",Mid-Range Combat,"Reese / Aminatou, the Fateshifter","Greg / Lathril, Blade of the Elves","Brendan / Lonis, Cryptozoologist",John / Edgar Markov,,
,6/27/21,Alex / Mizzix of the Izmagnus,Burn,"Andrew / Adrix and Nev, Twincasters","John / Alela, Artful Provocateur",Alex / Mizzix of the Izmagnus,"Brendan / Chatterfang, Squirrel General",,
Many yoked fairies,7/8/21,"John / Alela, Artful Provocateur",Aggro,"John / Alela, Artful Provocateur","Miguel / Slimefoot, the Stowaway","Reese / Volrath, the Shapestealer",,,
Many blood artists and woe strider meant dead enemies,7/18/21,"Brendan / Chatterfang, Squirrel General",Burn,Greg / Kynaios and Tiro of Meletis,"Brendan / Chatterfang, Squirrel General",Blake / Roon of the Hidden Realm,"Reese / Bruse Tarl, Boorish Herder + Sakashima of a Thousand Faces",,
,7/25/21,"Michael / Krenko, Mob Boss",Combo,"Brendan / Chatterfang, Squirrel General","Reese / Bruse Tarl, Boorish Herder + Sakashima of a Thousand Faces","Michael / Krenko, Mob Boss",Alex / Zedruu the Greathearted,,
,7/25/21,Brendan / Maelstrom Wanderer,Mid-Range Combat,"Reese / Tymna the Weaver + Ikra Shidiqi, the Ursurper",Michael / The Ur-Dragon,"Alex / Torbran, Thane of Red Fell",Brendan / Maelstrom Wanderer,,
,7/31/21,"Reese / Bruse Tarl, Boorish Herder + Sakashima of a Thousand Faces",Mid-Range Combat,"Joe / Adrix and Nev, Twincasters",Blake / Roon of the Hidden Realm,"Reese / Bruse Tarl, Boorish Herder + Sakashima of a Thousand Faces","Brendan / Chatterfang, Squirrel General",,
First mill win of the pod!,8/12/21,Greg / Bruvac the Grandiloquent,Mill,Reese / Ink-Treader Nephilim,Greg / Bruvac the Grandiloquent,"Alex / Teysa, Orzhov Scion",,,
Army of the damned + Elesh Norn,8/12/21,"Alex / Teysa, Orzhov Scion",Mid-Range Combat,"Alex / Teysa, Orzhov Scion",Greg / Kynaios and Tiro of Meletis,"John / Bruse Tarl, Boorish Herder + Kamahl, Heart of Krosa",,,
,8/19/21,"Brendan / Xenagos, God of Revels",Mid-Range Combat,"Reese / Tymna the Weaver + Ikra Shidiqi, the Ursurper","Jonas / Torbran, Thane of Red Fell","Alex / Teysa, Orzhov Scion","Brendan / Xenagos, God of Revels","Phil / Elesh Norn, Grand Cenobite",
,8/19/21,"Jonas / Torbran, Thane of Red Fell",Mid-Range Combat,Brendan / Shadrix Silverquill,"Phil / Jared Carthalion, True Heir","Reese / Bruse Tarl, Boorish Herder + Sakashima of a Thousand Faces","Alex / Teysa, Orzhov Scion","Jonas / Torbran, Thane of Red Fell",
,8/22/21,"Reese / Bruse Tarl, Boorish Herder + Sakashima of a Thousand Faces",Mid-Range Combat,"John / Alela, Artful Provocateur","Michael / Karametra, God of Harvests",Brendan / Vial Smasher + Sakashima of a Thousand Faces,"Reese / Bruse Tarl, Boorish Herder + Sakashima of a Thousand Faces",,
,8/22/21,"Brendan / Lonis, Cryptozoologist",Mid-Range Combat,"John / Bruse Tarl, Boorish Herder + Kamahl, Heart of Krosa","Michael / Karametra, God of Harvests","Reese / Varina, Lich Queen","Brendan / Lonis, Cryptozoologist",,
"Karametra went ""OFF"" with a huge squad of hasty, lifelinking, vigilence, flying, pro-red/black creatures.  knocking out Niv and SakaSmasher in one turn punishing them for 1) resolving a Niv and 2) attempting to notion thief wheel the table (notably squashed by Scarab God's interaction);  Then Scarab God gave Karametra a dose of her own medecine by ""Tergrid'ing"" both Vorinclex's and a bunch of other creatures, lands and a Mirari's Wake.  Then finally ""hostage taker'ing"" her Akroma'sMemorial and smashing back for lethal.",8/29/21,John / The Scarab God,Mid-Range Combat,"Michael / Karametra, God of Harvests",John / The Scarab God,Brendan / Vial Smasher + Sakashima of a Thousand Faces,"Reese / Niv-Mizzet, Parun",,
"Early bulky lad's Mirari's wake got krosan gripped (sad tibalt trickery in hand was *not* very effective);  Then two big dragon decks set up draw engines; mana engines and lotsaaa dragons.  EOT 5cScion binned a helluva bunch of dragons and tried to resolve a Patriarch's bidding on his next turn.....
key word ""tried"" as Ur-Doddy top-decked a counterspell in the clutchiest of clutch moments saving the table from the mass reanimation spell.  Bulky lads slowly rebuilt after a Cylconic Rift and was able to re-direct the aggression for a turn-cycle with a Gisela and block out some big dragons.  Ur-Doddy swung in for to kill 5cScion and made ~42 mana (!!!) between Klauth and Old Gnawbones and dumped his hand.  ending his turn with a huge board, buuut only 6 life.  Bulky lads unwittingly wins the game with 7 tiny creatures pumped up by Big Kamahl. What a game!",8/29/21,"John / Bruse Tarl, Boorish Herder + Kamahl, Heart of Krosa",Mid-Range Combat,Brendan / Scion of the Ur-Dragon,Reese / The Ur-Dragon,"John / Bruse Tarl, Boorish Herder + Kamahl, Heart of Krosa",,,
Reese won the game for Brendan by casting Patriarch's bidding ,9/5/21,Brendan / Maelstrom Wanderer,Burn,"Reese / Morophon, the Boundless","Alex / Prosper, Tome-Bound",Brendan / Maelstrom Wanderer,"Michael / Mirri, Weatherlight Duelist",,
Turn 2 damnation into 2.75 hours of turning tides,9/5/21,"Brendan / Yidris, Maelstrom Wielder",Mid-Range Combat,"Reese / Morophon, the Boundless","Michael / Mirri, Weatherlight Duelist","Brendan / Yidris, Maelstrom Wielder","Alex / Prosper, Tome-Bound",,
,9/23/21,"Brendan / Xenagos, God of Revels",Mid-Range Combat,"Brendan / Xenagos, God of Revels","Alex / Prosper, Tome-Bound","John / Marchesa, the Black Rose",Phil / Ashling the Pilgrim,,
,9/23/21,"John / Marchesa, the Black Rose",Mid-Range Combat,"Alex / Prosper, Tome-Bound","John / Marchesa, the Black Rose","Phil / Elesh Norn, Grand Cenobite","Brendan / Yidris, Maelstrom Wielder",,
,9/30/21,"Reese / Morophon, the Boundless",Combo,"John / Krenko, Mob Boss","Phil / Kethis, the Hidden Hand","Sean / Akiri, Line Slinger + Tymna the Weaver","Reese / Morophon, the Boundless",,
"Yuriko aka ""dimir artifacts"" did lots of dastardly things, Ur-Dragon was hard-cast twice, and Sythis was a big spooky, but Krenko and Purphuros applied the final heat feat. Rings of Brighthearth",9/30/21,"John / Krenko, Mob Boss",Burn,Reese / The Ur-Dragon,"Phil / Sythis, Harvest's Hand",Sean / Yuriko Tiger's Shadow,"John / Krenko, Mob Boss",,
,10/14/21,"Greg / Lathril, Blade of the Elves",Mid-Range Combat,"Brendan / Samut, Voice of Dissent","Alex / Prosper, Tome-Bound",Phil / Ashling the Pilgrim,"Greg / Lathril, Blade of the Elves",,
,10/14/21,Phil / Ashling the Pilgrim,Mid-Range Combat,"Greg / Kaza, Roil Chaser","Alex / Prosper, Tome-Bound","Brendan / Samut, Voice of Dissent",Phil / Ashling the Pilgrim,,
,10/31/2021,"Brendan / Samut, Voice of Dissent",Combo,"Reese / Bruse Tarl, Boorish Herder + Sakashima of a Thousand Faces","Brendan / Samut, Voice of Dissent",Phil / Teysa Karlov,John / Edgar Markov,,
,10/31/2021,"Brendan / Yidris, Maelstrom Wielder",Mid-Range Combat,"Phil / Prosper, Tome-Bound",John / Edgar Markov,"Reese / Niv-Mizzet, Parun","Brendan / Yidris, Maelstrom Wielder",,
,11/2/21,"John / Tayam, Luminous Enigma",Combo,"Brendan / Kess, Dissident Mage",Andrew / Emiel the Blessed,Reese / Firesong and Sunspeaker,"John / Tayam, Luminous Enigma",,
,11/2/21,Reese / Firesong and Sunspeaker,Mid-Range Combat,"Andrew / Bosh, Iron Golem",Reese / Firesong and Sunspeaker,"Brendan / Kess, Dissident Mage",John / Queen Marchesa,,
,11/2/21,"Andrew / Breena, the Demagogue",Mid-Range Combat,"Brendan / Xenagos, God of Revels","Andrew / Breena, the Demagogue","John / Tibalt, Cosmic Imposter","Reese / Krenko, Mob Boss",,
,11/8/21,"Phil / Chainer, Dementia Master",Mid-Range Combat,"Phil / Chainer, Dementia Master","Greg / Belbe, Corrupted Overseer","Alex / Lazav, the Multifarious","Brendan / Kess, Dissident Mage",,
Syr Konrad's game. wipe my board? that's a paddling. make me discard my hand? that's a paddling,11/11/21,"John / Tayam, Luminous Enigma",Mid-Range Combat,"John / Tayam, Luminous Enigma","Brendan / Samut, Voice of Dissent","Alex / Torbran, Thane of Red Fell","Phil / Yuriko, the Tiger's Shadow",,
"wild game. Alex deflecting swatted an aura shards trigger back into itself and then vomited out his hand of slug enchantments. tapping a land cost us 5 life. in response to a removal spell, he price of progressed for 20-30 to the table. lol didn't matter we couldn't tap lands anyway",11/11/21,"Alex / Torbran, Thane of Red Fell",Burn,Phil / Teysa Karlov,John / Shadrix Silverquill,"Brendan / Samut, Voice of Dissent","Alex / Torbran, Thane of Red Fell",,
prosper got so much V.A.L.U.E. threatened a win with revel in riches but got answered. still recovered hard but couldn't combo win. Ashling took her shot and ALMOST secured the W. cast Chandra's Ignition on a chunky ashling. holding priority flashed out dictate of the twin gods which quadruped DMG with another enchantment. about to dome us for 24. BUT our hero B saved the day with a single Mana swords. chef's kiss. lol then shadrix won using ashlings DMG quadruplers,11/11/21,John / Shadrix Silverquill,Mid-Range Combat,"Brendan / Samut, Voice of Dissent","Alex / Prosper, Tome-Bound",Phil / Ashling the Pilgrim,John / Shadrix Silverquill,,
,11/13/21,Brendan / Maelstrom Wanderer,Combo,"John / Osgir, the Reconstructor","Reese / Varina, Lich Queen",Brendan / Maelstrom Wanderer,"Alex / Kumena, Tyrant of Orazca",,
,11/21/21,"John / Osgir, the Reconstructor",Combo,Andrew / Araumi of the Dead Tide,"John / Osgir, the Reconstructor","Alex / Lazav, the Multifarious","Brendan / Jodah, Archmage Eternal","Reese / Bruse Tarl, Boorish Herder + Sakashima of a Thousand Faces",
,11/21/21,Greg / Kaalia of the Vast,Mid-Range Combat,"Reese / Morophon, the Boundless","Brendan / Jodah, Archmage Eternal","Alex / Inalla, Archmage Ritualist",Greg / Kaalia of the Vast,,
,11/30/21,"Brendan / Jodah, Archmage Eternal",Mid-Range Combat,"Brendan / Jodah, Archmage Eternal","Miguel / Esika, God of the Tree","Reese / Prossh, Skyraider of Kher",,,
,11/30/21,Brendan / Vial Smasher + Sakashima of a Thousand Faces,Burn,"Miguel / Lonis, Cryptozoologist",Brendan / Vial Smasher + Sakashima of a Thousand Faces,"Reese / Prossh, Skyraider of Kher",,,
,11/30/21,John / Galazeth Prismari,Burn,"Alex / Prosper, Tome-Bound",Miguel / Edgar Markov,Brendan / Shadrix Silverquill,John / Galazeth Prismari,"Reese / Prossh, Skyraider of Kher",
